ISIN;null
Начальная дата;22.03.2023
Конечная дата;21.03.2033

ISIN;Полное наименование ЦБ;Объем эмиссии (млн);Дата;Номинал;Валюта номинала;Непогашенный номинал;Ставка купона,  % годовых;Размер выплаты;Размер выплаты, руб.*
RU000A103U36;Банк ВТБ (ПАО) Б-1-248;29,934;27.01.2027;1000;RUB;1000;0,01;0,05;0,05
RU000A0ZYF38;ДОМ.РФ (АО) БО-07;5000;27.01.2027;1000;RUB;1000;;;
RU000A0ZYF20;ДОМ.РФ (АО) БО-06;5000;27.01.2027;1000;RUB;1000;;;
RU000A0JXQQ9;ООО АРАГОН об.;1000;27.01.2027;1000;RUB;1000;;;
RU000A105CM4;ХК Новотранс 001P-03;28500;26.01.2027;1000;RUB;1000;11,7;14,58;14,58
RU000A105054;ММЦБ ПАО БО-П01-02;200;26.01.2027;1000;RUB;1000;14;69,81;69,81
RU000A104YR0;СФО МОС МСП 2 об. 3;4000;26.01.2027;1000;RUB;1000;9,55;;
RU000A104A96;СберИОС 001Р-504R 5Г ТЕХ;334,754;26.01.2027;1000;RUB;1000;0,01;0,5;0,5
RU000A101ZH4;Почта России БО-001P-10;10000;26.01.2027;1000;RUB;1000;;;
RU000A0ZYR91;ГТЛК БО 001Р-08;10000;26.01.2027;1000;RUB;1000;11,32;28,22;28,22
RU000A0JU2L7;ФСК Россети(ПАО)-обл. сер.27;11000;26.01.2027;1000;RUB;1000;;;
RU000A0JU2K9;ФСК Россети(ПАО)-обл. сер.26;15000;26.01.2027;1000;RUB;1000;;;
RU000A102SM7;СДЭК Глобал БО-П01;500;25.01.2027;1000;RUB;1000;9,5;0,78;0,78
RU000A102RB2;Новая концесс. компания 12;5000;25.01.2027;1000;RUB;1225,12;;;
RU000A1024L7;Томская область 2020;20000;24.01.2027;1000;RUB;1000;6,7;3,3;3,3
RU000A105M59;ЛК Роделен БО 001Р-03;250;23.01.2027;1000;RUB;1000;;;
RU000A1053H4;Лизинг-Трейд 001P-05;100;23.01.2027;1000;RUB;1000;;;
RU000A1022E6;ПР-Лизинг ООО БО 002Р-01;1750;23.01.2027;1000;RUB;1000;;;
RU000A104ES0;СберИОС 001Р-514R 5Г NDX;153,261;22.01.2027;1000;RUB;1000;0,01;0,1;0,1
RU000A104CZ9;СберИОС 001Р-512R 5Г SBER;406,466;22.01.2027;1000;RUB;1000;0,01;0,1;0,1
RU000A104AH1;СберИОС 001Р-510R 5Г IMOEX;211,528;22.01.2027;1000;RUB;1000;0,01;0,1;0,1
RU000A101D54;ГТЛК-1520 П01-БО-02;35600;22.01.2027;1000;RUB;700;8,8;7,13;7,13
RU000A0ZYQY7;АФК "Система" ПАО БО-001P-07;10000;22.01.2027;1000;RUB;1000;;;
RU000A0ZYQU5;ДОМ.РФ (АО) БО 001P-02R;15000;22.01.2027;1000;RUB;1000;;;
RU000A104ZV9;РГ Лизинг 1P3;1000;21.01.2027;1000;RUB;1000;;;
RU000A1049R1;СберИОС 001Р-507R 5Г СШАМ ИНД;35,276;21.01.2027;1000;RUB;1000;0,01;0,5;0,5
RU000A101Z17;Свердловская область 35008;12000;21.01.2027;1000;RUB;1000;6,1;4,56;4,56
RU000A101CL5;ФСК Россети ПАО БО 001P-04R;10000;21.01.2027;1000;RUB;1000;6,75;16,83;16,83
RU000A0JVP39;КАМАЗ ПАО БО-12;5000;21.01.2027;1000;RUB;1000;11,24;56,05;56,05
RU000A102069;ОФЗ-ИН 52003;250000;20.01.2027;1000;RUB;1241,75;2,5;15,52;15,52
RU000A102A49;ОФЗ-ПК 29019 18/07/2029;450000;20.01.2027;1000;RUB;1000;;;
RU000A1025A7;ОФЗ-ПК 29015 18/10/2028;450000;20.01.2027;1000;RUB;1000;;;
RU000A0JTK38;ОФЗ-ПД 26212 19/01/28;358927,588;20.01.2027;1000;RUB;1000;7,05;35,15;35,15
RU000A104FG2;ГК Сегежа 002P-03R;9000;20.01.2027;1000;RUB;1000;;;
RU000A1042W6;ВЭБ.РФ ПБО-002Р-31;50000;20.01.2027;1000;RUB;1000;;;
RU000A101MB5;Совкомбанк БО-П02;11935,546;20.01.2027;1000;RUB;1000;;;
RU000A101LX1;ФСК Россети ПАО БО 001P-05R;10000;20.01.2027;1000;RUB;1000;;;
RU000A101CQ4;СУЭК-Финанс 001Р-05R;30000;20.01.2027;1000;RUB;1000;;;
RU000A0JVDD9;ФСК Россети(ПАО)-обл. сер.38;20000;20.01.2027;1000;RUB;1000;;;
RU000A0JVCB5;ФСК Россети(ПАО)-обл. сер.37;20000;20.01.2027;1000;RUB;1000;;;
RU000A0JSQ58;ФСК Россети(ПАО)-обл. сер.22;10000;20.01.2027;1000;RUB;1000;;;
RU000A0ZZET0;Газпром ПАО БО-23;15000;19.01.2027;1000;RUB;1000;;;
RU000A0ZZES2;Газпром ПАО БО-22;15000;19.01.2027;1000;RUB;1000;;;
RU000A0ZZER4;Газпром ПАО БО-07;10000;19.01.2027;1000;RUB;1000;;;
RU000A0ZYH93;Новосибирск  мун.обл. 2017;5000;19.01.2027;1000;RUB;650;7,85;0,97;0,97
RU000A0JXS83;Ярославская обл. об.2017г.;10000;19.01.2027;1000;RUB;1000;8,4;2,62;2,62
RU000A105W40;СберИОС 001Р-555R 5Г AC IMOEX;1000;18.01.2027;1000;RUB;1000;0,01;0,02;0,02
RU000A1013N6;Пионер-Лизинг БО-П03;400;18.01.2027;1000;RUB;1000;13,5;11,1;11,1
RU000A100N12;АФК Система БО 001P-11;10000;18.01.2027;1000;RUB;1000;;;
XS1750113661;Sultanate of Oman 17/01/28;2500;17.01.2027;1000;USD;1000;5,625;28,13;2172,82
RU000A105YK2;Вымпел-Коммуникации 001Р-03;8000;17.01.2027;1000;RUB;1000;7,3;18,2;18,2
RU000A105WK6;Вымпел-Коммуникации 001Р-04;6000;17.01.2027;1000;RUB;1000;8,85;22,06;22,06
RU000A1043E2;Новосибирская область 35022;10000;16.01.2027;1000;RUB;1000;9,03;13,51;13,51
RU000A105WZ4;Лизинг-Трейд 001P-07;150;15.01.2027;1000;RUB;1000;14,5;6,96;6,96
RU000A104Z63;ВЭБ.РФ ПБО-001Р-32;10000;15.01.2027;1000;RUB;1000;10,2;50,86;50,86
RU000A104AF5;СберИОС 001Р-506R 5Г GAZP;390,602;15.01.2027;1000;RUB;1000;0,01;0,1;0,1
RU000A103FC3;ПАО НК Роснефть 002P-11;2500;15.01.2027;1000;USD;1000;;;
RU000A105X80;Вымпел-Коммуникации 001Р-08;9500;14.01.2027;1000;RUB;1000;8,02;20;20
RU000A105JT4;Газпром капитал ООО ЗО31-1-Д;405,096;14.01.2027;1000;USD;1000;3,5;17,5;1351,74
RU000A1058J9;СберИОС 001Р-539R 5Г AC IMOEX;209,894;14.01.2027;1000;RUB;1000;0,01;0,03;0,03
RU000A104Z71;Биннофарм Групп 001Р-02;3000;14.01.2027;1000;RUB;1000;;;
RU000A104Z48;ВЭБ.РФ ПБО-002Р-33;50000;14.01.2027;1000;RUB;1000;10,2;50,86;50,86
RU000A103DY2;БЭЛТИ-ГРАНД ООО БО-П04;250;14.01.2027;1000;RUB;1000;12,25;0,86;0,86
RU000A100YQ0;ПАО НК Роснефть 002P-09;25000;14.01.2027;1000;RUB;1000;;;
RU000A103U28;Банк ВТБ (ПАО) Б-1-247;28,242;13.01.2027;1000;RUB;1000;0,01;0,05;0,05
RU000A101XN7;АФК Система БО 001P-14;10000;13.01.2027;1000;RUB;1000;;;
RU000A0JXXE1;ПАО НК Роснефть 001P-07;176000;13.01.2027;1000;RUB;1000;8,5;42,38;42,38
RU000A0JXXD3;ПАО НК Роснефть 001P-06;90000;13.01.2027;1000;RUB;1000;8,5;42,38;42,38
RU000A104VD6;СФО Спутник Фин 01;440;12.01.2027;1000;RUB;1000;10;;
RU000A104V00;Пионер-Лизинг БР5;400;12.01.2027;1000;RUB;1000;14,52;11,93;11,93
RU000A1047L8;СберИОС 001Р-503R 5Г ТЕХ;490,051;12.01.2027;1000;RUB;1000;0,01;0,5;0,5
RU000A102952;ВИС ФИНАНС БО-П01;2500;12.01.2027;1000;RUB;1000;;;
RU000A1028T1;ФСК Россети ПАО БО 001P-02R;10000;12.01.2027;1000;RUB;1000;6,6;16,45;16,45
RU000A100ME1;АРАГОН ООО БО-П02;300;12.01.2027;1000;RUB;1000;;;
RU000A0ZZDB0;ЕАБР БО 001Р-01;10000;12.01.2027;1000;RUB;1000;;;
RU000A0JXPG2;ГосТранспортЛизингКомп 001P-04;10000;12.01.2027;1000;RUB;1000;;;
RU000A105K77;СберИОС 001Р-546R 5Г AC IMOEX;448,624;11.01.2027;1000;RUB;1000;0,01;0,02;0,02
RU000A105HP6;СберИОС 001Р-545R 5Г AC NVTK;561,175;11.01.2027;1000;RUB;1000;0,01;0,02;0,02
RU000A105AS5;Авангард-Агро АО БО-001P-03;3000;11.01.2027;1000;RUB;1000;;;
RU000A103EN3;РЖД БО 001Р-23R;15000;11.01.2027;1000;RUB;1000;7,85;39,14;39,14
RU000A0JX5W4;Альфа-Банк АО обл. БО-18;5000;11.01.2027;1000;RUB;1000;;;
RU000A105SK4;ЛК Роделен БО 001Р-04;250;10.01.2027;1000;RUB;1000;;;
RU000A104XE0;Лизинг-Трейд 001P-04;100;10.01.2027;1000;RUB;1000;;;
RU000A101UW4;СФО Социального развия 02;1798,53;08.01.2027;1000;RUB;707,19;16,31;2,05;2,05
RU000A101UU8;СФО Социального развия 01;3216,086;08.01.2027;1000;RUB;707,19;10,21;1,28;1,28
RU000A1009Z8;"О'КЕЙ" ООО БО 001Р-02;5000;08.01.2027;1000;RUB;1000;;;
RU000A0ZYNY4;ГосТранспортЛизингКомп 001P-07;10000;08.01.2027;1000;RUB;1000;11,7;29,17;29,17
RU000A0ZYDH0;"ФСК Россети"(ПАО) БО-03;9000;08.01.2027;1000;RUB;1000;;;
RU000A104Y98;Балтийский лизинг ООО БО-П05;3000;07.01.2027;1000;RUB;1000;;;
RU000A1018T2;ДОМ.РФ Ипотечный агент 13-002P;96608,082;07.01.2027;1000;RUB;331,39;;;
RU000A103TS0;ТЕХНО Лизинг 001P-05;423,874;06.01.2027;1000;RUB;1000;11,5;7,09;7,09
RU000A1009L8;РЖД ОАО БО 001Р-15R;15000;06.01.2027;1000;RUB;1000;8,8;21,94;21,94
XS2348717658;BCS SP Plc Series 178;5;05.01.2027;1250;USD;1250;;;
RU000A104Y15;Белуга Групп 002P БО-П05;7000;05.01.2027;1000;RUB;1000;10,85;40,58;40,58
RU000A103DS4;СИБУР Холдинг БО-03;10000;05.01.2027;1000;RUB;1000;;;
RU000A101WH1;ГИДРОМАШСЕРВИС АО БО-02;1507,517;05.01.2027;1000;RUB;1000;;;
RU000A100DQ4;ДОМ.РФ Ипотечный агент 09-002P;72973,525;05.01.2027;1000;RUB;307,73;9,5;2,29;2,29
XS2392969395;CBOM Finance P.L.C. 7.625 UNDT;350;04.01.2027;1000;USD;1000;7,625;;
RU000A102R40;РЖД БО 001Р-22R;10000;04.01.2027;1000;RUB;1000;6,85;34,16;34,16
RU000A100KY3;ПАО НК Роснефть 002P-08;25000;04.01.2027;1000;RUB;1000;;;
RU000A0JU7S1;ФСК Россети (ПАО)-обл. сер.29;20000;04.01.2027;1000;RUB;1000;;;
RU000A105G99;СФО ВТБ РКС Эталон 01;10000;02.01.2027;1000;RUB;1000;11;9,34;9,34
RU000A102TK9;ЮниСервис Капитал 02К;90;02.01.2027;10000;RUB;10000;8,8;32,55;32,55
RU000A1006C3;Пионер-Лизинг БО-П02;300;02.01.2027;1000;RUB;1000;13,75;11,3;11,3
US501797AM65;L Brands, Inc. 6.75 01/07/36;700;01.01.2027;1000;USD;1000;;;
RU000A1032P1;ООО «СФО ВТБ РКС-1 »;35000;01.01.2027;1000;RUB;1000;8;;
RU000A0JSGV0;"Российские ЖД" ОАО 32 обл.;10000;01.01.2027;1000;RUB;1000;;;
RU000A0ZZCX6;Концерн РОССИУМ ООО 001P-01;25000;31.12.2026;1000;RUB;1000;;;
RU000A0JVLA8;Магистраль двух столиц кл. А2;5500;31.12.2026;1000;RUB;1000;;;
RU000A0JVF98;Магистраль двух столиц кл. А1;7500;31.12.2026;1000;RUB;1000;;;
XS2407287452;BCS SP Plc Series 225;10;30.12.2026;1250;USD;1250;;;
XS2388458403;BCS SP Plc Series 215;500;30.12.2026;100000;RUB;100000;;;
XS0223715920;USD 6.25 VTB CAP.S.A.05-2035;22,513;30.12.2026;1000;USD;1000;6,25;31,25;2413,82
RU000A1047P9;СберИОС 001Р-500R 5Г ИФН;19,567;30.12.2026;1000;RUB;1000;0,01;0,5;0,5
XS1634369224;Republic of Belarus 29/6/27;600;29.12.2026;1000;USD;1000;7,625;38,125;2944,86
RU000A105RF6;Лизинг-Трейд 001P-06;150;29.12.2026;1000;RUB;1000;14,5;6,46;6,46
RU000A105JH9;Газпром капитал ООО ЗО27-2-Д;442,596;29.12.2026;1000;USD;1000;3;15;1158,63
RU000A104XJ9;МГКЛ 001Р-01;150;29.12.2026;1000;RUB;1000;;;
RU000A105P72;ДОМ.РФ Ипотечный агент БО 1P28;48883,735;28.12.2026;1000;RUB;1000;7,75;;
RU000A105NZ3;ДОМ.РФ Ипотечный агент БО 1P32;6128,78;28.12.2026;1000;RUB;976,82;;;
RU000A105NY6;ДОМ.РФ Ипотечный агент БО 1P31;60843,021;28.12.2026;1000;RUB;1000;;;
RU000A105NN9;ДОМ.РФ Ипотечный агент БО 1P29;54789,504;28.12.2026;1000;RUB;968,66;;;
RU000A105LN3;ДОМ.РФ Ипотечный агент БО 1P27;20597,323;28.12.2026;1000;RUB;956,12;7,4;;
RU000A105JF3;ДОМ.РФ Ипотечный агент БО 1P26;5477,816;28.12.2026;1000;RUB;976,65;;;
RU000A105H23;ДОМ.РФ Ипотечный агент БО 1P25;5527,918;28.12.2026;1000;RUB;937,9;9,35;;
RU000A105CB7;ДОМ.РФ Ипотечный агент БО 1P24;10034,807;28.12.2026;1000;RUB;979,09;7,85;;
RU000A105AV9;ДОМ.РФ Ипотечный агент БО 1P23;5039,33;28.12.2026;1000;RUB;977,26;8;;
RU000A1058R2;ДОМ.РФ Ипотечный агент БО 1P22;6638,733;28.12.2026;1000;RUB;951,14;;;
RU000A105344;ДОМ.РФ Ипотечный агент БО 1P20;155407,08;28.12.2026;1000;RUB;923,34;;;
RU000A104X32;ДОМ.РФ Ипотечный агент БО 1P19;6704,238;28.12.2026;1000;RUB;917,85;;;
RU000A104UV0;ДОМ.РФ Ипотечный агент БО 1P18;6183,696;28.12.2026;1000;RUB;907,81;;;
RU000A104C45;ДОМ.РФ Ипотечный агент БО 1P15;10093,385;28.12.2026;1000;RUB;856,52;7,83;;
RU000A104B79;ДОМ.РФ Ипотечный агент БО 1P16;207605,03;28.12.2026;1000;RUB;800,43;7,65;;
RU000A104AM1;ДОМ.РФ Ипотечный агент БО 1P17;31410,336;28.12.2026;1000;RUB;810,47;6,8;;
RU000A1041Q0;ДОМ.РФ Ипотечный агент БО 1P13;5353,129;28.12.2026;1000;RUB;790,79;8,15;;
RU000A103C95;АФК Система БО 001P-21;15000;28.12.2026;1000;RUB;1000;;;
RU000A103125;ДОМ.РФ Ипотечный агент БО 1P7;11252,259;28.12.2026;1000;RUB;627,99;6,9;;
RU000A102LU5;ГПБ (АО) БО 001Р-20Р;2000;28.12.2026;1000;RUB;1000;;;
RU000A102L87;ДОМ.РФ Ипотечный агент БО 1P5;49087,016;28.12.2026;1000;RUB;574,93;6,4;;
RU000A102K13;ДОМ.РФ Ипотечный агент БО 1P4;191455,712;28.12.2026;1000;RUB;520,7;7,9;;
RU000A102GD1;ДОМ.РФ Ипотечный агент БО 1P3;16540,117;28.12.2026;1000;RUB;512,71;6;;
RU000A100ZB9;ДОМ.РФ Ипотечный агент 10-002P;95652,798;28.12.2026;1000;RUB;329,88;;;
RU000A1007Q1;АВАНГАРД АКБ ПАО БО-001P-02;3000;28.12.2026;1000;RUB;1000;;;
RU000A0ZZZ58;ДОМ.РФ Ипотечный агент 07-002P;46088,517;28.12.2026;1000;RUB;359,22;;;
RU000A0ZZZ09;ДОМ.РФ Ипотечный агент 08-002P;5149,941;28.12.2026;1000;RUB;253,6;9,28;;
RU000A0ZZNW5;ДОМ.РФ Ипотечный агент 04-002P;4751,314;28.12.2026;1000;RUB;200,78;;;
RU000A0JXVB1;ТрансФин-М ПАО 001P-03;500;28.12.2026;1000;RUB;1000;10,5;52,36;52,36
RU000A0JXRM6;ДОМ РФ ИА 01;49999,827;28.12.2026;1000;RUB;238,92;;;
RU000A0JX3M0;ДОМ РФ ИА 001P;2108,581;28.12.2026;1000;RUB;106,87;;;
RU000A104B46;ГПБ (АО) БО 001Р-21Р;30000;27.12.2026;1000;RUB;1000;;;
RU000A105UE3;ИА Титан-5 В;300;26.12.2026;1000;RUB;1000;;;
RU000A105UD5;ИА Титан-5 Б;300;26.12.2026;1000;RUB;1000;11;;
RU000A105UC7;ИА Титан-5 А;2540;26.12.2026;1000;RUB;1000;10,65;;
RU000A104YR0;СФО МОС МСП 2 об. 3;4000;26.12.2026;1000;RUB;1000;9,55;;
RU000A102SM7;СДЭК Глобал БО-П01;500;26.12.2026;1000;RUB;1000;9,5;0,78;0,78
XS2010030919;ALROSA Finance S.A. 25/06/27;500;25.12.2026;1000;USD;1000;3,1;15,5;1197,25
RU000A105RW1;ППК РЭО, обл.01;1591,075;25.12.2026;1000;RUB;1000;;;
RU000A1047N4;СберИОС 001Р-501R 5Г NDX;560,233;25.12.2026;1000;RUB;1000;0,01;0,1;0,1
RU000A1047M6;СберИОС 001Р-502R 5Г GAZP;629,284;25.12.2026;1000;RUB;1000;0,01;0,1;0,1
RU000A103C53;РЕСО-Лизинг ООО БО-П-11;7000;25.12.2026;1000;RUB;1000;;;
RU000A101U61;Минфин Ульяновской обл. 35002;7000;25.12.2026;1000;RUB;1000;6,6;9,87;9,87
RU000A101ER8;Банк ГПБ ГПБ-Т2-03Д;250,25;25.12.2026;175000;USD;175000;;;
RU000A1018M7;СОПФ ФПФ 01;10000;25.12.2026;1000;RUB;1000;6,84;13,31;13,31
RU000A1008Q9;ПАО НК Роснефть 002P-07;20000;25.12.2026;1000;RUB;1000;;;
RU000A1008P1;ПАО НК Роснефть 002P-06;10000;25.12.2026;1000;RUB;1000;;;
RU000A0ZZ1J8;ГТЛК БО 001P-09;10000;25.12.2026;1000;RUB;1000;;;
XS0088543193;ГОВОЗ РФ МК-0-СМ-119 (XS);2499,85;24.12.2026;1000;USD;1000;12,75;63,75;4924,19
RU000A105M59;ЛК Роделен БО 001Р-03;250;24.12.2026;1000;RUB;1000;;;
RU000A1053H4;Лизинг-Трейд 001P-05;100;24.12.2026;1000;RUB;1000;;;
RU000A1022E6;ПР-Лизинг ООО БО 002Р-01;1750;24.12.2026;1000;RUB;1000;;;
RU000A0ZYC31;Авангард-Агро АО БО-001P-01;3000;24.12.2026;1000;RUB;1000;;;
RU000A102BV4;ОФЗ-ПК 29020 22/09/2027;450000;23.12.2026;1000;RUB;1000;;;
RU000A1025B5;ОФЗ-ПК 29016 23/12/2026;450000;23.12.2026;1000;RUB;1000;;;
RU000A101KT1;ОФЗ-ПК 29013 18/09/30;450000;23.12.2026;1000;RUB;1000;;;
RU000A105YH8;ВЭБ.РФ ПБО-002Р-36;50000;23.12.2026;1000;RUB;1000;;;
RU000A105MN1;ДОМ.РФ АО 002P-01;30000;23.12.2026;1000;RUB;1000;;;
RU000A104CK1;РГ Лизинг 1P2;1000;23.12.2026;1000;RUB;1000;15,7;42,84;42,84
RU000A103D45;ИА ТБ-1 кл.Б;877,5;23.12.2026;1000;RUB;1000;;;
RU000A103D37;ИА ТБ-1 кл.А;5622,5;23.12.2026;1000;RUB;390,37;7,9;;
RU000A0JXU14;ГОВОЗ РФ 12840079V (RU);7000;23.12.2026;200000;USD;200000;5,25;5250;405521,55
RU000A0JXTS9;ГОВОЗ РФ 12840078V (RU);2404,6;23.12.2026;200000;USD;200000;4,25;4250;328279,35
RU000A0JXLU2;СФО Локосервис финанс ООО 01;4373;23.12.2026;1000;RUB;750;;;
RU000A105PJ2;МГКЛ 001Р-02;150;22.12.2026;1000;RUB;1000;16,5;41,14;41,14
RU000A105PH6;Россети ПАО БО 001P-07R;30000;22.12.2026;1000;RUB;1000;;;
RU000A104EP6;НЗРМ ООО БО-01;160;22.12.2026;1000;RUB;1000;;;
RU000A104CF1;Солид-Лизинг ООО 01;400;22.12.2026;1000;RUB;900;;;
RU000A1044W2;СберИОС 001Р-497R 5Г РБЧ-М;268,316;22.12.2026;1000;RUB;1000;0,01;0,5;0,5
RU000A102MA5;ГСП-Финанс 02;225200;22.12.2026;1000;RUB;1000;;;
RU000A101UQ6;ИКС 5 ФИНАНС 001P-12;10000;22.12.2026;1000;RUB;1000;;;
RU000A0ZZBV2;ПАО ЛК Европлан БО-08;5000;22.12.2026;1000;RUB;1000;;;
RU000A105YV9;Вымпел-Коммуникации 001Р-09;1600;21.12.2026;1000;RUB;1000;10,55;26,3;26,3
RU000A105T52;СберИОС 001Р-554R 5Г AC IMOEX;413,382;21.12.2026;1000;RUB;1000;0,01;0,03;0,03
RU000A105C36;СберИОС 001Р-543R 5Г AC IMOEX;550,931;21.12.2026;1000;RUB;1000;0,01;0,02;0,02
RU000A1045F4;СберИОС 001Р-493R 5Г ТЕХ;681,514;21.12.2026;1000;RUB;1000;0,01;0,5;0,5
RU000A101UE2;РОСЭКСИМБАНК 002P-03;7000;21.12.2026;1000;RUB;1000;6,64;33,11;33,11
RU000A101S16;Республика Казахстан 13;10000;21.12.2026;1000;RUB;1000;7,92;39,49;39,49
RU000A101S08;Республика Казахстан 12;10000;21.12.2026;1000;RUB;1000;7,92;39,49;39,49
RU000A101RW0;Республика Казахстан 08;10000;21.12.2026;1000;RUB;1000;7,69;38,34;38,34
XS2387703866;TCS Finance DAC UNDT;600;20.12.2026;1000;USD;1000;6;;
RU000A0JX2F6;РОСБАНК ПАО обл. БО-11;5000;20.12.2026;1000;RUB;1000;;;
RU000A0JX2D1;РОСБАНК ПАО обл. БО-12;5000;20.12.2026;1000;RUB;1000;;;
RU000A104DZ7;Сибнефтехимтрейд БО-02;350;19.12.2026;1000;RUB;1000;;;
RU000A1013N6;Пионер-Лизинг БО-П03;400;19.12.2026;1000;RUB;1000;13,5;11,1;11,1
RU000A105NT6;Магаданская область ГО2022;2000;18.12.2026;1000;RUB;1000;10,61;10,58;10,58
RU000A1056S4;"ФСК Россети"(ПАО) БО-05;10000;18.12.2026;1000;RUB;1000;;;
RU000A104WF9;Славнефть БО 002Р-04;10000;18.12.2026;1000;RUB;1000;;;
RU000A104BY4;Бизнес-Недвижимость 001Р-02;2700;18.12.2026;1000;RUB;1000;10,8;3,37;3,37
RU000A102LF6;Пионер-Лизинг БО-П04;350;18.12.2026;1000;RUB;1000;14,75;36,77;36,77
RU000A102L79;Минфин Челябинской обл 35003;8000;18.12.2026;1000;RUB;1000;6;2,99;2,99
RU000A102L61;Минфин Челябинской обл 35002;8000;18.12.2026;1000;RUB;1000;6;2,99;2,99
RU000A100HE1;АЗБУКА_ВКУСА_БОП1;3500;18.12.2026;1000;RUB;1000;;;
RU000A1007U3;АРАГОН ООО БО-П01;500;18.12.2026;1000;RUB;1000;;;
RU000A105XE7;Вымпел-Коммуникации 001Р-02;15000;17.12.2026;1000;RUB;1000;9,3;23,19;23,19
RU000A105NK5;МОЭК ПАО БО 001Р-05;5000;17.12.2026;1000;RUB;1000;;;
RU000A105ND0;Калининградская область 35007;500;17.12.2026;1000;RUB;1000;10,3;25,68;25,68
RU000A105NB4;ТГК-1 БО-001Р-01;5000;17.12.2026;1000;RUB;1000;;;
RU000A105BZ8;СФО Альта;310;17.12.2026;1000;RUB;1000;10;;
RU000A104BC0;Калининградская область 35004;2000;17.12.2026;1000;RUB;1000;9,5;17,76;17,76
RU000A1018G9;Концессии водсн Саратов БО-01;2000;17.12.2026;1000;RUB;916,67;;;
RU000A1007H0;Славнефть БО 001Р-02;10000;17.12.2026;1000;RUB;1000;;;
RU000A100725;Брайт Финанс ООО БО-П01;220;17.12.2026;1000;RUB;1000;;;
RU000A100030;Автодор ГК БО-002Р-01;2719,8;17.12.2026;1000;RUB;890;;;
RU000A0ZZZZ2;ГК Самолет БО-П04;500;17.12.2026;1000;RUB;1000;;;
RU000A0ZYMN9;Вертолеты России об. БО-03;5000;17.12.2026;1000;RUB;1000;8,8;43,88;43,88
RU000A0ZYMM1;Вертолеты России об. БО-04;5000;17.12.2026;1000;RUB;1000;8,8;43,88;43,88
RU000A0JX413;ПАО НК Роснефть 001P-03;20000;17.12.2026;1000;RUB;1000;9,5;47,37;47,37
RU000A0JV4Q1;ОФЗ-ПК 29010 06/12/34;390287,001;16.12.2026;1000;RUB;1000;9,53;47,52;47,52
RU000A105WZ4;Лизинг-Трейд 001P-07;150;16.12.2026;1000;RUB;1000;14,5;7,46;7,46
RU000A103U10;Банк ВТБ (ПАО) Б-1-246;118,223;16.12.2026;1000;RUB;1000;0,01;0,05;0,05
RU000A102KN2;Калининградская область 35003;2000;16.12.2026;1000;RUB;1000;6,1;4,56;4,56
RU000A1017H9;Автодор ГК БО-002Р-05;18645,167;16.12.2026;1000;RUB;850;;;
RU000A0ZZZY5;Концерн РОССИУМ ООО 001P-02;10000;16.12.2026;1000;RUB;1000;;;
RU000A0ZYM54;Центральная ППК АО П01-БО-01;500;16.12.2026;1000;RUB;1000;7,55;75,29;75,29
RU000A0JVKH5;"Российские ЖД" ОАО 35 обл.;15000;16.12.2026;1000;RUB;1000;;;
RU000A0JVE65;Финанс-менеджмент (ООО) об.01;500;16.12.2026;1000;RUB;1000;0,1;0,5;0,5
RU000A0JV1C7;ИА АИЖК 2014-3 А1;3019;16.12.2026;1000;RUB;10,52;9;;
RU000A0JV1B9;ИА АИЖК 2014-3 А2;1509;16.12.2026;1000;RUB;10,52;3;;
RU000A105N58;Концерн РОССИУМ ООО 003P-01;20000;15.12.2026;1000;RUB;1000;;;
RU000A104W33;Почта России БО-002P-03;10000;15.12.2026;1000;RUB;1000;10,15;50,61;50,61
RU000A104W17;Почта России БО-002P-02;10000;15.12.2026;1000;RUB;1000;;;
RU000A103DY2;БЭЛТИ-ГРАНД ООО БО-П04;250;15.12.2026;1000;RUB;1000;12,25;1,51;1,51
RU000A102556;СЭЗ им. С.Орджоникидзе 001Р-02;500;15.12.2026;1000;RUB;1000;10,75;26,8;26,8
RU000A1018N5;Концерн РОССИУМ 001P-03;15000;15.12.2026;1000;RUB;1000;;;
RU000A1016N9;Свердловская область 06;5000;15.12.2026;1000;RUB;1000;6,7;4,5;4,5
RU000A1001T8;ММЦБ ПАО БО-П01-01;30;15.12.2026;1000;RUB;1000;;;
RU000A0JWLU4;"Российские ЖД" ОАО 42 обл.;15000;15.12.2026;1000;RUB;1000;;;
RU000A102VR0;ГТЛК БО 002P-01;10000;14.12.2026;1000;RUB;1000;;;
RU000A102K39;РЕСО-Лизинг ООО БО-П-08;5000;14.12.2026;1000;RUB;1000;;;
RU000A0ZYLU6;ДОМ.РФ (АО) БО 001P-01R;15000;14.12.2026;1000;RUB;1000;;;
XS2369574384;BCS SP Plc Series 197;10;13.12.2026;1250;USD;1250;;;
RU000A104V00;Пионер-Лизинг БР5;400;13.12.2026;1000;RUB;1000;14,52;11,93;11,93
RU000A0JV755;ИА АИЖК 2014-2 кл.А3;6459;13.12.2026;1000;RUB;288,27;10,5;;
RU000A101ZU7;ИА Абсолют 5 01;3003;12.12.2026;1000;RUB;390,26;6,35;;
RU000A105SK4;ЛК Роделен БО 001Р-04;250;11.12.2026;1000;RUB;1000;;;
RU000A105M91;Синара Транспортные Машины 1P3;10000;11.12.2026;1000;RUB;1000;;;
